,Subject,Start Date,Start Time,Date
0,LCS 2020 Spring - C9 vs TL,2020-01-25,17:00,2020-01-25 17:00:00
1,LCS 2020 Spring - CLG vs DIG,2020-01-25,18:00,2020-01-25 18:00:00
2,LCS 2020 Spring - 100 vs GG,2020-01-25,19:00,2020-01-25 19:00:00
3,LCS 2020 Spring - IMT vs FLY,2020-01-25,20:00,2020-01-25 20:00:00
4,LCS 2020 Spring - DIG vs EG,2020-01-26,15:00,2020-01-26 15:00:00
5,LCS 2020 Spring - TSM vs IMT,2020-01-26,16:00,2020-01-26 16:00:00
6,LCS 2020 Spring - GG vs C9,2020-01-26,17:00,2020-01-26 17:00:00
7,LCS 2020 Spring - FLY vs CLG,2020-01-26,18:00,2020-01-26 18:00:00
8,LCS 2020 Spring - EG vs 100,2020-01-27,20:30,2020-01-27 20:30:00
9,LCS 2020 Spring - TL vs TSM,2020-01-27,21:30,2020-01-27 21:30:00
10,LCS 2020 Spring - CLG vs 100,2020-02-01,17:00,2020-02-01 17:00:00
11,LCS 2020 Spring - DIG vs TL,2020-02-01,18:00,2020-02-01 18:00:00
12,LCS 2020 Spring - C9 vs IMT,2020-02-01,19:00,2020-02-01 19:00:00
13,LCS 2020 Spring - GG vs EG,2020-02-01,20:00,2020-02-01 20:00:00
14,LCS 2020 Spring - EG vs TSM,2020-02-02,15:00,2020-02-02 15:00:00
15,LCS 2020 Spring - TL vs FLY,2020-02-02,16:00,2020-02-02 16:00:00
16,LCS 2020 Spring - 100 vs C9,2020-02-02,17:00,2020-02-02 17:00:00
17,LCS 2020 Spring - IMT vs GG,2020-02-02,18:00,2020-02-02 18:00:00
18,LCS 2020 Spring - FLY vs DIG,2020-02-03,20:30,2020-02-03 20:30:00
19,LCS 2020 Spring - TSM vs CLG,2020-02-03,21:30,2020-02-03 21:30:00
20,LCS 2020 Spring - EG vs CLG,2020-02-08,17:00,2020-02-08 17:00:00
21,LCS 2020 Spring - 100 vs TL,2020-02-08,18:00,2020-02-08 18:00:00
22,LCS 2020 Spring - TSM vs DIG,2020-02-08,19:00,2020-02-08 19:00:00
23,LCS 2020 Spring - C9 vs FLY,2020-02-08,20:00,2020-02-08 20:00:00
24,LCS 2020 Spring - IMT vs 100,2020-02-09,15:00,2020-02-09 15:00:00
25,LCS 2020 Spring - GG vs TSM,2020-02-09,16:00,2020-02-09 16:00:00
26,LCS 2020 Spring - DIG vs C9,2020-02-09,17:00,2020-02-09 17:00:00
27,LCS 2020 Spring - FLY vs EG,2020-02-09,18:00,2020-02-09 18:00:00
28,LCS 2020 Spring - TL vs GG,2020-02-10,20:30,2020-02-10 20:30:00
29,LCS 2020 Spring - CLG vs IMT,2020-02-10,21:30,2020-02-10 21:30:00
30,LCS 2020 Spring - TL vs IMT,2020-02-15,17:00,2020-02-15 17:00:00
31,LCS 2020 Spring - C9 vs TSM,2020-02-15,18:00,2020-02-15 18:00:00
32,LCS 2020 Spring - GG vs CLG,2020-02-15,19:00,2020-02-15 19:00:00
33,LCS 2020 Spring - 100 vs DIG,2020-02-15,20:00,2020-02-15 20:00:00
34,LCS 2020 Spring - DIG vs GG,2020-02-16,15:00,2020-02-16 15:00:00
35,LCS 2020 Spring - CLG vs TL,2020-02-16,16:00,2020-02-16 16:00:00
36,LCS 2020 Spring - TSM vs FLY,2020-02-16,17:00,2020-02-16 17:00:00
37,LCS 2020 Spring - IMT vs EG,2020-02-16,18:00,2020-02-16 18:00:00
38,LCS 2020 Spring - FLY vs 100,2020-02-17,20:30,2020-02-17 20:30:00
39,LCS 2020 Spring - EG vs C9,2020-02-17,21:30,2020-02-17 21:30:00
